line	rxn	mol	mol_id	con_rxn	old_a	new_a
1	initiate	ribosome	15	elongate_1	0.00000000e+00	1.00000000e+00
1	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
2	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
2	elongate_1	ribosome	15	elongate_1	1.00000000e+00	0.00000000e+00
2	elongate_1	ribosome	15	elongate_2	0.00000000e+00	1.00000000e+00
3	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
4	elongate_2	ribosome	15	elongate_2	1.00000000e+00	0.00000000e+00
4	elongate_2	ribosome	15	elongate_3	0.00000000e+00	1.00000000e+00
4	elongate_2	ribosome	17	elongate_1	0.00000000e+00	1.00000000e+00
5	elongate_3	ribosome	15	elongate_3	1.00000000e+00	0.00000000e+00
5	elongate_3	ribosome	15	terminate	0.00000000e+00	1.00000000e+00
6	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
6	elongate_1	ribosome	17	elongate_1	1.00000000e+00	0.00000000e+00
6	elongate_1	ribosome	17	elongate_2	0.00000000e+00	1.00000000e+00
7	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
9	elongate_2	ribosome	17	elongate_2	1.00000000e+00	0.00000000e+00
9	elongate_2	ribosome	30	elongate_1	0.00000000e+00	1.00000000e+00
10	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
10	elongate_1	ribosome	30	elongate_1	1.00000000e+00	0.00000000e+00
11	terminate	ribosome	15	terminate	1.00000000e+00	0.00000000e+00
11	terminate	ribosome	17	elongate_3	0.00000000e+00	1.00000000e+00
12	elongate_3	ribosome	17	elongate_3	1.00000000e+00	0.00000000e+00
12	elongate_3	ribosome	17	terminate	0.00000000e+00	1.00000000e+00
12	elongate_3	ribosome	30	elongate_2	0.00000000e+00	1.00000000e+00
13	terminate	ribosome	17	terminate	1.00000000e+00	0.00000000e+00
15	elongate_2	ribosome	30	elongate_2	1.00000000e+00	0.00000000e+00
15	elongate_2	ribosome	30	elongate_3	0.00000000e+00	1.00000000e+00
16	elongate_3	ribosome	30	elongate_3	1.00000000e+00	0.00000000e+00
16	elongate_3	ribosome	30	terminate	0.00000000e+00	1.00000000e+00
17	initiate	ribosome	60	elongate_1	0.00000000e+00	1.00000000e+00
17	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
18	terminate	ribosome	30	terminate	1.00000000e+00	0.00000000e+00
19	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
19	elongate_1	ribosome	60	elongate_1	1.00000000e+00	0.00000000e+00
19	elongate_1	ribosome	60	elongate_2	0.00000000e+00	1.00000000e+00
21	elongate_2	ribosome	60	elongate_2	1.00000000e+00	0.00000000e+00
21	elongate_2	ribosome	60	elongate_3	0.00000000e+00	1.00000000e+00
22	initiate	ribosome	20	elongate_1	0.00000000e+00	1.00000000e+00
22	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
23	elongate_3	ribosome	60	elongate_3	1.00000000e+00	0.00000000e+00
23	elongate_3	ribosome	60	terminate	0.00000000e+00	1.00000000e+00
24	terminate	ribosome	60	terminate	1.00000000e+00	0.00000000e+00
27	test_add	mrna	134	initiate	0.00000000e+00	1.00000000e+00
28	elongate_1	ribosome	20	elongate_1	1.00000000e+00	0.00000000e+00
28	elongate_1	ribosome	20	elongate_2	0.00000000e+00	1.00000000e+00
30	initiate	ribosome	78	elongate_1	0.00000000e+00	1.00000000e+00
31	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
32	elongate_2	ribosome	20	elongate_2	1.00000000e+00	0.00000000e+00
32	elongate_2	ribosome	20	elongate_3	0.00000000e+00	1.00000000e+00
32	elongate_2	ribosome	99	elongate_1	1.00000000e+00	2.00000000e+00
33	elongate_3	ribosome	20	elongate_3	1.00000000e+00	0.00000000e+00
33	elongate_3	ribosome	20	terminate	0.00000000e+00	1.00000000e+00
34	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
34	elongate_1	ribosome	99	elongate_1	2.00000000e+00	1.00000000e+00
34	elongate_1	ribosome	99	elongate_2	0.00000000e+00	1.00000000e+00
35	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
36	elongate_2	ribosome	99	elongate_2	1.00000000e+00	0.00000000e+00
36	elongate_2	ribosome	34	elongate_1	1.00000000e+00	2.00000000e+00
37	terminate	ribosome	20	terminate	1.00000000e+00	0.00000000e+00
37	terminate	ribosome	99	elongate_3	0.00000000e+00	1.00000000e+00
38	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
38	elongate_1	ribosome	34	elongate_1	2.00000000e+00	1.00000000e+00
39	elongate_3	ribosome	99	elongate_3	1.00000000e+00	0.00000000e+00
39	elongate_3	ribosome	99	terminate	0.00000000e+00	1.00000000e+00
39	elongate_3	ribosome	34	elongate_2	0.00000000e+00	1.00000000e+00
40	terminate	ribosome	99	terminate	1.00000000e+00	0.00000000e+00
41	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
42	elongate_1	mrna	134	initiate	0.00000000e+00	1.00000000e+00
42	elongate_1	ribosome	78	elongate_1	1.00000000e+00	0.00000000e+00
42	elongate_1	ribosome	78	elongate_2	1.00000000e+00	2.00000000e+00
43	elongate_2	ribosome	78	elongate_2	2.00000000e+00	1.00000000e+00
43	elongate_2	ribosome	78	elongate_3	0.00000000e+00	1.00000000e+00
44	elongate_2	ribosome	34	elongate_2	1.00000000e+00	0.00000000e+00
44	elongate_2	ribosome	34	elongate_3	1.00000000e+00	2.00000000e+00
44	elongate_2	ribosome	29	elongate_1	0.00000000e+00	1.00000000e+00
45	elongate_3	ribosome	78	elongate_3	2.00000000e+00	1.00000000e+00
45	elongate_3	ribosome	78	terminate	0.00000000e+00	1.00000000e+00
46	elongate_1	ribosome	29	elongate_1	1.00000000e+00	0.00000000e+00
47	elongate_3	ribosome	34	elongate_3	1.00000000e+00	0.00000000e+00
47	elongate_3	ribosome	34	terminate	1.00000000e+00	2.00000000e+00
47	elongate_3	ribosome	29	elongate_2	0.00000000e+00	1.00000000e+00
48	terminate	ribosome	78	terminate	2.00000000e+00	1.00000000e+00
49	terminate	ribosome	34	terminate	1.00000000e+00	0.00000000e+00
50	elongate_2	ribosome	29	elongate_2	1.00000000e+00	0.00000000e+00
50	elongate_2	ribosome	29	elongate_3	0.00000000e+00	1.00000000e+00
51	initiate	ribosome	74	elongate_1	0.00000000e+00	1.00000000e+00
52	elongate_1	ribosome	74	elongate_1	1.00000000e+00	0.00000000e+00
52	elongate_1	ribosome	74	elongate_2	0.00000000e+00	1.00000000e+00
54	initiate	ribosome	19	elongate_1	0.00000000e+00	1.00000000e+00
54	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
55	elongate_3	ribosome	29	elongate_3	1.00000000e+00	0.00000000e+00
55	elongate_3	ribosome	29	terminate	0.00000000e+00	1.00000000e+00
56	terminate	ribosome	29	terminate	1.00000000e+00	0.00000000e+00
57	elongate_2	ribosome	74	elongate_2	1.00000000e+00	0.00000000e+00
57	elongate_2	ribosome	74	elongate_3	0.00000000e+00	1.00000000e+00
57	elongate_2	ribosome	93	elongate_1	1.00000000e+00	2.00000000e+00
58	elongate_3	ribosome	74	elongate_3	1.00000000e+00	0.00000000e+00
58	elongate_3	ribosome	74	terminate	0.00000000e+00	1.00000000e+00
59	elongate_1	mrna	134	initiate	0.00000000e+00	1.00000000e+00
59	elongate_1	ribosome	93	elongate_1	2.00000000e+00	1.00000000e+00
59	elongate_1	ribosome	93	elongate_2	0.00000000e+00	1.00000000e+00
60	elongate_2	ribosome	93	elongate_2	1.00000000e+00	0.00000000e+00
61	initiate	ribosome	8	elongate_1	1.00000000e+00	2.00000000e+00
61	initiate	mrna	134	initiate	1.00000000e+00	0.00000000e+00
62	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
62	elongate_1	ribosome	19	elongate_1	2.00000000e+00	1.00000000e+00
62	elongate_1	ribosome	19	elongate_2	0.00000000e+00	1.00000000e+00
63	initiate	mrna	0	initiate	1.00000000e+00	0.00000000e+00
64	elongate_2	ribosome	19	elongate_2	1.00000000e+00	0.00000000e+00
64	elongate_2	ribosome	19	elongate_3	0.00000000e+00	1.00000000e+00
64	elongate_2	ribosome	49	elongate_1	1.00000000e+00	2.00000000e+00
65	elongate_1	mrna	134	initiate	0.00000000e+00	1.00000000e+00
65	elongate_1	ribosome	8	elongate_1	2.00000000e+00	1.00000000e+00
66	terminate	ribosome	74	terminate	1.00000000e+00	0.00000000e+00
66	terminate	ribosome	93	elongate_3	1.00000000e+00	2.00000000e+00
67	elongate_3	ribosome	19	elongate_3	2.00000000e+00	1.00000000e+00
67	elongate_3	ribosome	19	terminate	0.00000000e+00	1.00000000e+00
68	elongate_1	ribosome	49	elongate_1	1.00000000e+00	0.00000000e+00
68	elongate_1	ribosome	49	elongate_2	0.00000000e+00	1.00000000e+00
69	elongate_3	ribosome	93	elongate_3	1.00000000e+00	0.00000000e+00
69	elongate_3	ribosome	93	terminate	1.00000000e+00	2.00000000e+00
69	elongate_3	ribosome	8	elongate_2	1.00000000e+00	2.00000000e+00
70	terminate	ribosome	19	terminate	2.00000000e+00	1.00000000e+00
71	elongate_2	ribosome	49	elongate_2	2.00000000e+00	1.00000000e+00
71	elongate_2	ribosome	49	elongate_3	0.00000000e+00	1.00000000e+00
72	initiate	ribosome	6	elongate_1	0.00000000e+00	1.00000000e+00
73	elongate_3	ribosome	49	elongate_3	1.00000000e+00	0.00000000e+00
73	elongate_3	ribosome	49	terminate	1.00000000e+00	2.00000000e+00
74	initiate	mrna	134	initiate	1.00000000e+00	0.00000000e+00
75	terminate	ribosome	49	terminate	2.00000000e+00	1.00000000e+00
76	terminate	ribosome	93	terminate	1.00000000e+00	0.00000000e+00
77	elongate_1	mrna	0	initiate	0.00000000e+00	1.00000000e+00
77	elongate_1	ribosome	6	elongate_1	1.00000000e+00	0.00000000e+00
77	elongate_1	ribosome	6	elongate_2	1.00000000e+00	2.00000000e+00
79	initiate	ribosome	99	elongate_1	0.00000000e+00	1.00000000e+00
80	elongate_2	ribosome	8	elongate_2	2.00000000e+00	1.00000000e+00
80	elongate_2	ribosome	8	elongate_3	0.00000000e+00	1.00000000e+00
80	elongate_2	ribosome	85	elongate_1	1.00000000e+00	2.00000000e+00
81	elongate_3	ribosome	8	elongate_3	1.00000000e+00	0.00000000e+00
81	elongate_3	ribosome	8	terminate	0.00000000e+00	1.00000000e+00
82	elongate_1	ribosome	85	elongate_1	2.00000000e+00	1.00000000e+00
82	elongate_1	ribosome	85	elongate_2	1.00000000e+00	2.00000000e+00
83	elongate_1	ribosome	99	elongate_1	1.00000000e+00	0.00000000e+00
83	elongate_1	ribosome	99	elongate_2	2.00000000e+00	3.00000000e+00
84	elongate_2	ribosome	85	elongate_2	3.00000000e+00	2.00000000e+00
85	elongate_2	ribosome	99	elongate_2	2.00000000e+00	1.00000000e+00
85	elongate_2	ribosome	99	elongate_3	0.00000000e+00	1.00000000e+00
86	terminate	ribosome	8	terminate	1.00000000e+00	0.00000000e+00
86	terminate	ribosome	85	elongate_3	1.00000000e+00	2.00000000e+00
87	elongate_3	ribosome	85	elongate_3	2.00000000e+00	1.00000000e+00
87	elongate_3	ribosome	85	terminate	0.00000000e+00	1.00000000e+00
89	terminate	ribosome	85	terminate	1.00000000e+00	0.00000000e+00
91	elongate_2	ribosome	6	elongate_2	1.00000000e+00	0.00000000e+00
91	elongate_2	ribosome	6	elongate_3	1.00000000e+00	2.00000000e+00
91	elongate_2	ribosome	2	elongate_1	0.00000000e+00	1.00000000e+00
92	elongate_1	ribosome	2	elongate_1	1.00000000e+00	0.00000000e+00
93	elongate_3	ribosome	99	elongate_3	2.00000000e+00	1.00000000e+00
93	elongate_3	ribosome	99	terminate	0.00000000e+00	1.00000000e+00
95	initiate	ribosome	54	elongate_1	0.00000000e+00	1.00000000e+00
96	terminate	ribosome	99	terminate	1.00000000e+00	0.00000000e+00
97	elongate_1	ribosome	54	elongate_1	1.00000000e+00	0.00000000e+00
97	elongate_1	ribosome	54	elongate_2	0.00000000e+00	1.00000000e+00
98	elongate_3	ribosome	6	elongate_3	1.00000000e+00	0.00000000e+00
98	elongate_3	ribosome	6	terminate	0.00000000e+00	1.00000000e+00
98	elongate_3	ribosome	2	elongate_2	1.00000000e+00	2.00000000e+00
99	elongate_2	ribosome	54	elongate_2	2.00000000e+00	1.00000000e+00
99	elongate_2	ribosome	54	elongate_3	0.00000000e+00	1.00000000e+00
100	terminate	ribosome	6	terminate	1.00000000e+00	0.00000000e+00
101	initiate	ribosome	79	elongate_1	0.00000000e+00	1.00000000e+00
102	elongate_3	ribosome	54	elongate_3	1.00000000e+00	0.00000000e+00
102	elongate_3	ribosome	54	terminate	0.00000000e+00	1.00000000e+00
103	elongate_2	ribosome	2	elongate_2	1.00000000e+00	0.00000000e+00
103	elongate_2	ribosome	2	elongate_3	0.00000000e+00	1.00000000e+00
103	elongate_2	ribosome	32	elongate_1	1.00000000e+00	2.00000000e+00
105	terminate	ribosome	54	terminate	1.00000000e+00	0.00000000e+00
106	initiate	ribosome	26	elongate_1	2.00000000e+00	3.00000000e+00
107	elongate_1	ribosome	79	elongate_1	3.00000000e+00	2.00000000e+00
107	elongate_1	ribosome	79	elongate_2	0.00000000e+00	1.00000000e+00
108	elongate_2	ribosome	79	elongate_2	1.00000000e+00	0.00000000e+00
108	elongate_2	ribosome	79	elongate_3	1.00000000e+00	2.00000000e+00
109	initiate	ribosome	57	elongate_1	2.00000000e+00	3.00000000e+00
110	elongate_1	ribosome	26	elongate_1	3.00000000e+00	2.00000000e+00
110	elongate_1	ribosome	26	elongate_2	0.00000000e+00	1.00000000e+00
111	elongate_1	ribosome	57	elongate_1	2.00000000e+00	1.00000000e+00
112	initiate	ribosome	98	elongate_1	1.00000000e+00	2.00000000e+00
113	elongate_3	ribosome	79	elongate_3	2.00000000e+00	1.00000000e+00
113	elongate_3	ribosome	79	terminate	0.00000000e+00	1.00000000e+00
113	elongate_3	ribosome	57	elongate_2	1.00000000e+00	2.00000000e+00
114	elongate_2	ribosome	26	elongate_2	2.00000000e+00	1.00000000e+00
114	elongate_2	ribosome	26	elongate_3	1.00000000e+00	2.00000000e+00
115	elongate_3	ribosome	2	elongate_3	2.00000000e+00	1.00000000e+00
115	elongate_3	ribosome	2	terminate	1.00000000e+00	2.00000000e+00
116	terminate	ribosome	2	terminate	2.00000000e+00	1.00000000e+00
118	initiate	ribosome	84	elongate_1	2.00000000e+00	3.00000000e+00
118	initiate	mrna	137	initiate	1.00000000e+00	0.00000000e+00
119	elongate_3	ribosome	26	elongate_3	1.00000000e+00	0.00000000e+00
119	elongate_3	ribosome	26	terminate	1.00000000e+00	2.00000000e+00
120	elongate_2	ribosome	57	elongate_2	1.00000000e+00	0.00000000e+00
120	elongate_2	ribosome	33	elongate_1	3.00000000e+00	4.00000000e+00
121	terminate	ribosome	79	terminate	2.00000000e+00	1.00000000e+00
121	terminate	ribosome	57	elongate_3	0.00000000e+00	1.00000000e+00
122	terminate	ribosome	26	terminate	1.00000000e+00	0.00000000e+00
123	elongate_1	mrna	134	initiate	0.00000000e+00	1.00000000e+00
123	elongate_1	ribosome	33	elongate_1	4.00000000e+00	3.00000000e+00
124	elongate_3	ribosome	57	elongate_3	1.00000000e+00	0.00000000e+00
124	elongate_3	ribosome	57	terminate	0.00000000e+00	1.00000000e+00
124	elongate_3	ribosome	33	elongate_2	0.00000000e+00	1.00000000e+00
125	elongate_1	ribosome	84	elongate_1	3.00000000e+00	2.00000000e+00
125	elongate_1	ribosome	84	elongate_2	1.00000000e+00	2.00000000e+00
127	elongate_1	ribosome	32	elongate_1	2.00000000e+00	1.00000000e+00
127	elongate_1	ribosome	32	elongate_2	2.00000000e+00	3.00000000e+00
129	elongate_2	ribosome	33	elongate_2	3.00000000e+00	2.00000000e+00
130	elongate_2	ribosome	84	elongate_2	2.00000000e+00	1.00000000e+00
130	elongate_2	ribosome	84	elongate_3	0.00000000e+00	1.00000000e+00
131	elongate_2	ribosome	32	elongate_2	1.00000000e+00	0.00000000e+00
131	elongate_2	ribosome	32	elongate_3	1.00000000e+00	2.00000000e+00
132	elongate_3	ribosome	32	elongate_3	2.00000000e+00	1.00000000e+00
132	elongate_3	ribosome	32	terminate	1.00000000e+00	2.00000000e+00
134	terminate	ribosome	57	terminate	2.00000000e+00	1.00000000e+00
